[INFO] Initialisiere YOLO Detektor (yolov8n.pt)...
Erfolgreich mit PostgreSQL verbunden (localhost:5432)
Datenbanktabellen erstellt/überprüft

================================================================================
[SYSTEM] LIVE-PERSONENERKENNUNG GESTARTET
================================================================================
  Modell: Ultralytics YOLO vv8
  Ordner X: input_x
  Ordner Y: input_y
  Poll-Intervall: 0.5s
================================================================================

[INFO] Warte auf neue Bilder...

[0001] 21:52:47.312 | input_x    |  0 Pers | Conf: 0.000 | 0.100s [OK]
[0002] 21:52:47.630 | input_x    |  0 Pers | Conf: 0.000 | 0.036s [OK]
[0003] 21:52:47.883 | input_x    |  0 Pers | Conf: 0.000 | 0.032s [OK]
[0004] 21:52:48.135 | input_x    |  0 Pers | Conf: 0.000 | 0.036s [OK]
[0005] 21:52:48.391 | input_y    |  0 Pers | Conf: 0.000 | 0.041s [OK]
[0006] 21:52:48.642 | input_y    |  0 Pers | Conf: 0.000 | 0.037s [OK]
[0007] 21:52:48.894 | input_y    |  0 Pers | Conf: 0.000 | 0.033s [OK]
[0008] 21:52:49.643 | input_y    |  0 Pers | Conf: 0.000 | 0.030s [OK]
[0009] 21:52:49.889 | input_y    |  0 Pers | Conf: 0.000 | 0.031s [OK]
[0010] 21:52:52.640 | input_x    |  0 Pers | Conf: 0.000 | 0.037s [OK]
[0011] 21:52:53.998 | input_x    |  0 Pers | Conf: 0.000 | 0.040s [OK]
[0012] 21:52:54.258 | input_x    |  0 Pers | Conf: 0.000 | 0.037s [OK]
[0013] 21:52:55.010 | input_x    |  0 Pers | Conf: 0.000 | 0.041s [OK]
[0014] 21:52:55.770 | input_x    |  0 Pers | Conf: 0.000 | 0.031s [OK]
[0015] 21:52:56.013 | input_y    |  0 Pers | Conf: 0.000 | 0.038s [OK]
[0016] 21:52:56.771 | input_y    |  0 Pers | Conf: 0.000 | 0.037s [OK]
[0017] 21:52:57.526 | input_y    |  0 Pers | Conf: 0.000 | 0.039s [OK]
[0018] 21:52:58.282 | input_y    |  0 Pers | Conf: 0.000 | 0.037s [OK]
[0019] 21:52:59.037 | input_y    |  0 Pers | Conf: 0.000 | 0.035s [OK]
[0020] 21:53:01.794 | input_x    |  0 Pers | Conf: 0.000 | 0.036s [OK]
[0021] 21:53:02.549 | input_x    |  0 Pers | Conf: 0.000 | 0.039s [OK]
[0022] 21:53:03.308 | input_x    |  0 Pers | Conf: 0.000 | 0.041s [OK]
[0023] 21:53:03.568 | input_x    |  0 Pers | Conf: 0.000 | 0.036s [OK]
[0024] 21:53:04.323 | input_x    |  0 Pers | Conf: 0.000 | 0.040s [OK]
[0025] 21:53:04.577 | input_y    |  0 Pers | Conf: 0.000 | 0.039s [OK]
[0026] 21:53:05.334 | input_y    |  0 Pers | Conf: 0.000 | 0.034s [OK]
[0027] 21:53:06.087 | input_y    |  0 Pers | Conf: 0.000 | 0.039s [OK]
[0028] 21:53:06.838 | input_y    |  0 Pers | Conf: 0.000 | 0.036s [OK]
[0029] 21:53:07.093 | input_y    |  0 Pers | Conf: 0.000 | 0.031s [OK]
[0030] 21:53:09.845 | input_x    |  0 Pers | Conf: 0.000 | 0.031s [OK]
[0031] 21:53:10.595 | input_x    |  1 Pers | Conf: 0.917 | 0.032s [OK]
[0032] 21:53:11.346 | input_x    |  1 Pers | Conf: 0.922 | 0.033s [OK]
[0033] 21:53:12.100 | input_x    |  1 Pers | Conf: 0.921 | 0.035s [OK]
[0034] 21:53:12.356 | input_x    |  1 Pers | Conf: 0.927 | 0.037s [OK]
[0035] 21:53:13.113 | input_y    |  0 Pers | Conf: 0.000 | 0.037s [OK]
[0036] 21:53:13.869 | input_y    |  0 Pers | Conf: 0.000 | 0.038s [OK]
[0037] 21:53:14.126 | input_y    |  0 Pers | Conf: 0.000 | 0.031s [OK]
[0038] 21:53:14.874 | input_y    |  0 Pers | Conf: 0.000 | 0.036s [OK]
[0039] 21:53:15.629 | input_y    |  0 Pers | Conf: 0.000 | 0.031s [OK]
[0040] 21:53:18.481 | input_x    |  1 Pers | Conf: 0.691 | 0.042s [OK]
[0041] 21:53:19.244 | input_x    |  0 Pers | Conf: 0.000 | 0.041s [OK]
[0042] 21:53:20.007 | input_x    |  0 Pers | Conf: 0.000 | 0.039s [OK]
[0043] 21:53:20.766 | input_x    |  0 Pers | Conf: 0.000 | 0.035s [OK]
[0044] 21:53:21.021 | input_x    |  0 Pers | Conf: 0.000 | 0.039s [OK]
[0045] 21:53:21.778 | input_y    |  0 Pers | Conf: 0.000 | 0.047s [OK]
[0046] 21:53:22.543 | input_y    |  0 Pers | Conf: 0.000 | 0.037s [OK]
[0047] 21:53:23.298 | input_y    |  0 Pers | Conf: 0.000 | 0.036s [OK]
[0048] 21:53:24.050 | input_y    |  0 Pers | Conf: 0.000 | 0.035s [OK]
[0049] 21:53:24.802 | input_y    |  0 Pers | Conf: 0.000 | 0.039s [OK]
[0050] 21:53:27.558 | input_x    |  0 Pers | Conf: 0.000 | 0.037s [OK]
